dataset,epoch,question_type,question_class_size,model,loss_function,train_loss,train_acc,test_acc
Cifar10,279,Which_one,1,MLP,MAE_LOSS,1.137915803,0.3642,0.3542
Cifar10,280,Which_one,1,MLP,MAE_LOSS,1.135261932,0.36526,0.3554
Cifar10,281,Which_one,1,MLP,MAE_LOSS,1.16795582,0.34436,0.3328
Cifar10,282,Which_one,1,MLP,MAE_LOSS,1.179722349,0.35616,0.343
Cifar10,283,Which_one,1,MLP,MAE_LOSS,1.130513545,0.3491,0.3319
Cifar10,284,Which_one,1,MLP,MAE_LOSS,1.132923979,0.36886,0.3624
Cifar10,285,Which_one,1,MLP,MAE_LOSS,1.14498778,0.33204,0.3307
Cifar10,286,Which_one,1,MLP,MAE_LOSS,1.131148736,0.36086,0.359
Cifar10,287,Which_one,1,MLP,MAE_LOSS,1.1270146,0.36898,0.355
Cifar10,288,Which_one,1,MLP,MAE_LOSS,1.135148973,0.3384,0.3273
Cifar10,289,Which_one,1,MLP,MAE_LOSS,1.167811377,0.33638,0.3258
Cifar10,290,Which_one,1,MLP,MAE_LOSS,1.171932192,0.3649,0.3557
Cifar10,291,Which_one,1,MLP,MAE_LOSS,1.118699382,0.36266,0.3566
Cifar10,292,Which_one,1,MLP,MAE_LOSS,1.115649875,0.35548,0.3442
Cifar10,293,Which_one,1,MLP,MAE_LOSS,1.14129328,0.36542,0.3599
Cifar10,294,Which_one,1,MLP,MAE_LOSS,1.125687254,0.36066,0.3527
Cifar10,295,Which_one,1,MLP,MAE_LOSS,1.146736126,0.36212,0.3524
Cifar10,296,Which_one,1,MLP,MAE_LOSS,1.097648334,0.36784,0.3585
Cifar10,297,Which_one,1,MLP,MAE_LOSS,1.101474958,0.35374,0.3478
Cifar10,298,Which_one,1,MLP,MAE_LOSS,1.114362882,0.3732,0.3679
Cifar10,299,Which_one,1,MLP,MAE_LOSS,1.088624835,0.37694,0.3674
Cifar10,300,Which_one,1,MLP,MAE_LOSS,1.077098217,0.36414,0.3522
Cifar10,1,Which_one,2,MLP,MAE_LOSS,1.486838564,0.3032,0.3059
Cifar10,2,Which_one,2,MLP,MAE_LOSS,1.343517695,0.32964,0.3296
Cifar10,3,Which_one,2,MLP,MAE_LOSS,1.317921446,0.32076,0.3215
Cifar10,4,Which_one,2,MLP,MAE_LOSS,1.297866633,0.33486,0.3381
Cifar10,5,Which_one,2,MLP,MAE_LOSS,1.280214382,0.35026,0.3542
Cifar10,6,Which_one,2,MLP,MAE_LOSS,1.262223779,0.34706,0.3509
Cifar10,7,Which_one,2,MLP,MAE_LOSS,1.25912099,0.34648,0.3466
Cifar10,8,Which_one,2,MLP,MAE_LOSS,1.254894483,0.35456,0.3559
Cifar10,9,Which_one,2,MLP,MAE_LOSS,1.21458169,0.36708,0.3613
Cifar10,10,Which_one,2,MLP,MAE_LOSS,1.193216444,0.3733,0.3666
Cifar10,11,Which_one,2,MLP,MAE_LOSS,1.191941902,0.36288,0.3569
Cifar10,12,Which_one,2,MLP,MAE_LOSS,1.184138685,0.37478,0.3756
Cifar10,13,Which_one,2,MLP,MAE_LOSS,1.169106148,0.38412,0.381
Cifar10,14,Which_one,2,MLP,MAE_LOSS,1.182829486,0.3662,0.3606
